arm,run_status,clean_smoke_mean,clean_smoke_sd,clean_smoke_delta_mean,precision_axis,clean_guards_3_of_3,sigma005_drop_mean,sigma005_drop_sd,robust_axis,fire_full134_mean_record_only,deploy_parameters,gmacs_proxy,gmacs_change_percent,formal_latency,overall_decision
S1,COMPLETE_3_SEEDS_30_EPOCHS,0.68055469099723,0.018257274381868804,-0.019513758201980574,NO_DISTINGUISHABLE_EFFECT,False,0.1569406444470944,0.04214924101495381,NOT_DETERMINABLE_BASELINE_WINDOW_MISSING,0.7487753494548017,7624323,7.470914048,0.0,DEFERRED_BY_AUTHORIZATION,NO_DISTINGUISHABLE_EFFECT_ON_DETERMINABLE_AXES
S2,NOT_RUN_SECOND_BATCH_NOT_AUTHORIZED,,,,NOT_EVALUATED,,,,NOT_EVALUATED,,7476099,7.282170368,-2.5263800224087385,NOT_RUN,NOT_RUN_NOT_A_FAILURE
S3,COMPLETE_3_SEEDS_30_EPOCHS,0.6763856265971944,0.01111659817961678,-0.0236828226020163,NO_DISTINGUISHABLE_EFFECT,False,0.19232569485511464,0.061999608604026105,NOT_DETERMINABLE_BASELINE_WINDOW_MISSING,0.709413807447674,7465475,7.419959808,-0.6820348845218036,DEFERRED_BY_AUTHORIZATION,NO_DISTINGUISHABLE_EFFECT_ON_DETERMINABLE_AXES
S4,COMPLETE_3_SEEDS_30_EPOCHS,0.6774964835578965,0.011145932127582343,-0.022571965641314213,NO_DISTINGUISHABLE_EFFECT,False,0.13097573422241607,0.01992311963972958,NOT_DETERMINABLE_BASELINE_WINDOW_MISSING,0.7038551999494533,7361059,7.134427648,-4.503952231789884,DEFERRED_BY_AUTHORIZATION,NO_DISTINGUISHABLE_EFFECT_ON_DETERMINABLE_AXES
S5,NOT_RUN_SECOND_BATCH_NOT_AUTHORIZED,,,,NOT_EVALUATED,,,,NOT_EVALUATED,,6488124,7.106038144,-4.8839526416139005,NOT_RUN,NOT_RUN_NOT_A_FAILURE
S6,COMPLETE_3_SEEDS_30_EPOCHS,0.6841120934820125,0.014214078500657585,-0.015956355717198185,NO_DISTINGUISHABLE_EFFECT,False,0.19824356590974326,0.0840258647172561,NOT_DETERMINABLE_BASELINE_WINDOW_MISSING,0.7552609871846211,7771651,8.225888768,10.105520089634954,DEFERRED_BY_AUTHORIZATION,NO_DISTINGUISHABLE_EFFECT_ON_DETERMINABLE_AXES
S7,NOT_RUN_SECOND_BATCH_NOT_AUTHORIZED,,,,NOT_EVALUATED,,,,NOT_EVALUATED,,7619810,7.460233728,-0.14295867856837643,NOT_RUN,NOT_RUN_NOT_A_FAILURE
S8,NOT_RUN_SECOND_BATCH_NOT_AUTHORIZED,,,,NOT_EVALUATED,,,,NOT_EVALUATED,,7628227,7.487379968,0.22040034049659568,NOT_RUN,NOT_RUN_NOT_A_FAILURE
R1,COMPLETE_3_SEEDS_30_EPOCHS,0.6581920767215997,0.024758216439659517,-0.041876372477610856,NO_DISTINGUISHABLE_EFFECT,False,0.043327340461404705,0.006355294087870667,NOT_DETERMINABLE_BASELINE_WINDOW_MISSING,0.7219155889756775,7623939,7.470914048,0.0,DEFERRED_BY_AUTHORIZATION,NO_DISTINGUISHABLE_EFFECT_ON_DETERMINABLE_AXES
R2,COMPLETE_3_SEEDS_30_EPOCHS,0.6845047112424189,0.00612299328461236,-0.015563737956791668,NO_DISTINGUISHABLE_EFFECT,False,0.21787862918058362,0.08776202221752637,NOT_DETERMINABLE_BASELINE_WINDOW_MISSING,0.7196492037585885,7624164,7.489264128,0.24562027995640515,DEFERRED_BY_AUTHORIZATION,NO_DISTINGUISHABLE_EFFECT_ON_DETERMINABLE_AXES
R3,COMPLETE_3_SEEDS_30_EPOCHS,0.6782935077372397,0.026598092402905345,-0.021774941461970898,NO_DISTINGUISHABLE_EFFECT,False,0.0417766915794493,0.015013847837288815,NOT_DETERMINABLE_BASELINE_WINDOW_MISSING,0.7148179206341791,7624164,7.489264128,0.24562027995640515,DEFERRED_BY_AUTHORIZATION,NO_DISTINGUISHABLE_EFFECT_ON_DETERMINABLE_AXES
B1,COMPLETE_3_SEEDS_30_EPOCHS,0.67147058920586,0.026291743692351634,-0.028597859993350665,NO_DISTINGUISHABLE_EFFECT,False,0.17013453302875645,0.06530161502884187,NOT_DETERMINABLE_BASELINE_WINDOW_MISSING,0.7052417632667812,7623939,7.470914048,0.0,DEFERRED_BY_AUTHORIZATION,NO_DISTINGUISHABLE_EFFECT_ON_DETERMINABLE_AXES
