arm,condition,metric,mean,sample_sd
B0,clean,background_iou_A001_A047,0.8726563210465554,0.004459637787484889
B0,clean,smoke_iou_A001_A047,0.7257919785966781,0.007267608963165168
B0,clean,fire_heat_iou_A001_A047_record_only,0.8033706570912986,0.011182488615614286
B0,clean,three_class_miou_A001_A047_record_only,0.8006063189115107,0.007507556035206927
B0,clean,selection_score_S_record_only,0.7726843321499891,0.009095692114948284
B0,clean,fire_heat_iou_full134_record_only,0.8195766857033001,0.01139985030288777
B0,clean,no_fire_joint_false_positive_ratio,9.430803571428573e-05,0.00015804462561679273
B0,clean,smoke_precision_A001_A047,0.7890178889468921,0.007985555184975011
B0,clean,smoke_recall_A001_A047,0.9006534505812603,0.0017995292358388552
B0,thermal_noise_002,background_iou_A001_A047,0.849755381329406,0.003035662791187366
B0,thermal_noise_002,smoke_iou_A001_A047,0.6488276866981186,0.013604879311456545
B0,thermal_noise_002,fire_heat_iou_A001_A047_record_only,0.8026647008370539,0.009664253388525064
B0,thermal_noise_002,three_class_miou_A001_A047_record_only,0.7670825896215262,0.005262072442140984
B0,thermal_noise_002,selection_score_S_record_only,0.7343355454223542,0.006946096980827311
B0,thermal_noise_002,fire_heat_iou_full134_record_only,0.81984340414659,0.0093569164611981
B0,thermal_noise_002,no_fire_joint_false_positive_ratio,9.048316592261904e-05,0.00015041528083961075
B0,thermal_noise_002,smoke_precision_A001_A047,0.7974616447725414,0.0057459340383669314
B0,thermal_noise_002,smoke_recall_A001_A047,0.777283462208949,0.02483909681557554
B0,thermal_noise_005,background_iou_A001_A047,0.7920883495138727,0.01341156258730738
B0,thermal_noise_005,smoke_iou_A001_A047,0.39920311790019314,0.08340262585640054
B0,thermal_noise_005,fire_heat_iou_A001_A047_record_only,0.7834997106380249,0.010668439084593927
B0,thermal_noise_005,three_class_miou_A001_A047_record_only,0.6582637260173636,0.033301718473097715
B0,thermal_noise_005,selection_score_S_record_only,0.6022458579875486,0.04339195719592212
B0,thermal_noise_005,fire_heat_iou_full134_record_only,0.805288598074904,0.01031541270733949
B0,thermal_noise_005,no_fire_joint_false_positive_ratio,2.9645647321428568e-05,4.7392271460828794e-05
B0,thermal_noise_005,smoke_precision_A001_A047,0.8379991160118826,0.039533751242192716
B0,thermal_noise_005,smoke_recall_A001_A047,0.4374150028723687,0.10674017612889133
B0,thermal_noise_010,background_iou_A001_A047,0.7277374477599975,0.005950793543946134
B0,thermal_noise_010,smoke_iou_A001_A047,0.08870207405116892,0.03649232391423213
B0,thermal_noise_010,fire_heat_iou_A001_A047_record_only,0.6162272354643802,0.04325827461569262
B0,thermal_noise_010,three_class_miou_A001_A047_record_only,0.4775555857585155,0.021942522131461414
B0,thermal_noise_010,selection_score_S_record_only,0.3693672634333985,0.031605365672086425
B0,thermal_noise_010,fire_heat_iou_full134_record_only,0.6500324528156282,0.04415410510760222
B0,thermal_noise_010,no_fire_joint_false_positive_ratio,6.615048363095237e-06,4.376861039274818e-06
B0,thermal_noise_010,smoke_precision_A001_A047,0.8297857545029569,0.1204064574812291
B0,thermal_noise_010,smoke_recall_A001_A047,0.09143006393633937,0.038904601021055425
B0,thermal_zero,background_iou_A001_A047,0.8507326064758146,0.01100590507137542
B0,thermal_zero,smoke_iou_A001_A047,0.7021464177326991,0.013402762775353048
B0,thermal_zero,fire_heat_iou_A001_A047_record_only,1.7369176552940124e-05,2.1178575905806133e-05
B0,thermal_zero,three_class_miou_A001_A047_record_only,0.5176321311283556,0.007953297364707993
B0,thermal_zero,selection_score_S_record_only,0.3510802515009419,0.006704830806596895
B0,thermal_zero,fire_heat_iou_full134_record_only,1.4085269184740478e-05,1.2405229147204816e-05
B0,thermal_zero,no_fire_joint_false_positive_ratio,0.003395699637276786,0.0037848057227364363
B0,thermal_zero,smoke_precision_A001_A047,0.7975538962888925,0.043085435796911015
B0,thermal_zero,smoke_recall_A001_A047,0.85688183029245,0.03239726093515088
B0,rgb_zero,background_iou_A001_A047,0.6539314339489402,0.07031697380462523
B0,rgb_zero,smoke_iou_A001_A047,0.09112582950335542,0.08850642958756387
B0,rgb_zero,fire_heat_iou_A001_A047_record_only,0.7112201498539628,0.03682994658080392
B0,rgb_zero,three_class_miou_A001_A047_record_only,0.48542580443541944,0.03515671214412326
B0,rgb_zero,selection_score_S_record_only,0.3907970723832461,0.038571436076009
B0,rgb_zero,fire_heat_iou_full134_record_only,0.6904683152631369,0.06801856381274858
B0,rgb_zero,no_fire_joint_false_positive_ratio,0.00033661179315476193,0.0003225364025595148
B0,rgb_zero,smoke_precision_A001_A047,0.31800193248012065,0.10247231627568587
B0,rgb_zero,smoke_recall_A001_A047,0.13107594571099188,0.12171165462993468
S7,clean,background_iou_A001_A047,0.8728478887477789,0.0064033906331405184
S7,clean,smoke_iou_A001_A047,0.7304460747970642,0.008270430077385394
S7,clean,fire_heat_iou_A001_A047_record_only,0.8105769130169147,0.01639455497785089
S7,clean,three_class_miou_A001_A047_record_only,0.804623625520586,0.008436611404215163
S7,clean,selection_score_S_record_only,0.7760621155158934,0.010134333462641193
S7,clean,fire_heat_iou_full134_record_only,0.8216781562347227,0.014784509872692315
S7,clean,no_fire_joint_false_positive_ratio,6.0273670014880956e-05,0.00010241928346082012
S7,clean,smoke_precision_A001_A047,0.7849816173609749,0.016951156427809526
S7,clean,smoke_recall_A001_A047,0.9136942701118079,0.01665555451708305
S7,thermal_noise_002,background_iou_A001_A047,0.8527805464796481,0.00826665234216732
S7,thermal_noise_002,smoke_iou_A001_A047,0.6660817662791907,0.013473673703003015
S7,thermal_noise_002,fire_heat_iou_A001_A047_record_only,0.8130275133397037,0.012044001676045512
S7,thermal_noise_002,three_class_miou_A001_A047_record_only,0.7772966086995142,0.009603112493957554
S7,thermal_noise_002,selection_score_S_record_only,0.7455356476165734,0.010169801242712835
S7,thermal_noise_002,fire_heat_iou_full134_record_only,0.8249895289539563,0.011092581461771535
S7,thermal_noise_002,no_fire_joint_false_positive_ratio,4.95547340029762e-05,8.414099063803123e-05
